key,title,authors,journal,issn,volume,issue,pages,year,publisher,url,abstract,notes,doi,keywords
,forms of profit sharing and firm performance - theoretical foundations and empirical problems,"FITZROY, FR; KRAFT, K",KYKLOS,0023-5962,45,2,209-225,1992,HELBING & LICHTENHAHN VERLAG AG,0,"A new conceptual framework to define and differentiate among diverse forms of employee ownership is developed. Two central rights associated with ownership, return and control rights, are identified. Their impact on individual motivation, individual performance, organizational structural variables and organizational performance is evaluated. We show how, over certain ranges of combinations of control and return rights, the relationship between alternative ownership arrangements and organizational performance may be nonlinear. The implications for the introduction of employee ownership and the evaluation of empirical work are considered.",,10.1111/j.1467-6435.1992.tb02114.x,
,research on the work status of female employees in city commercial banks,"Yan, YX",PROCEEDINGS OF 2014 INTERNATIONAL SYMPOSIUM - FEMALE SURVIVAL AND DEVELOPMENT,,,,265-269,2014,ST PLUM-BLOSSOM PRESS PTY LTD,,"Most work on profit sharing has been empirical, and in a rare consensus, almost all studies have found a positive relationship between profit sharing and productivity. Theoretical foundations have been neglected in this work, and no attempt has been made to relate these empirical findings to extensive evidence for rent-sharing, or wage differentials related to profits that are hard to explain on the basis of unobserved individual characteristics. Here we argue that explicit and implicit forms of profit sharing should be viewed as two sides of the same coin, and can both be given convincing theoretical foundations. Relevant models include the importance of fairness and equitable pay and repeated games with mutual monitoring by profit or rent-sharing workers. Most empirical work has neglected the selection problem, or the existence of favourable but unobserved preconditions for profit sharing, and so probably exaggerates productivity gains from profit sharing in isolation and benefits from tax incentives. Cross-sectional regressions have also failed to uncover specific channels of influence of profit sharing.",,,City commercial banks; Female employees; Work status; Solutions
,"do institutional transplants succeed? regulating raiffeisen cooperatives in south india, 1930-1960","Nath, M",BUSINESS HISTORY REVIEW,0007-6805,95,1,59-85,2021,CAMBRIDGE UNIV PRESS,0,"Modern enterprise competition is after all the competition about intellectual faculties, and competition of city commercial banks is no exception. However, they retain the stereotype of the past credit cooperative period, and can't meet the requirement of modern financial development. This article is studying on the female employees to analyze their work status in city commercial banks, and problems occurred in management to provide beneficial reference to the development of city commercial banks.",,10.1017/S0007680520000884,rural banking; agriculture; India; colonialism; institutional change
,"state and transforming institutional logics: the emergence and demise of ottoman cooperatives as hybrid organizational forms, 1861-1888","Soydemir, CO; Erçek, M",BUSINESS HISTORY,0007-6791,65,3,423-453,2022,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0,"The government in British-ruled India established cooperative banks to compete with private moneylenders in the rural credit market. State officials expected greater competition to increase the supply of low-cost credit, thereby expanding investment potential for the rural poor. Cooperatives did increase credit supply but captured a small share of the credit market and reported net losses throughout the late colonial and early postcolonial period. The article asks why this experiment did not succeed and offers two explanations. First, low savings restricted the role of social capital and mutual supervision as methods of financial regulation in the cooperative sector. Second, a political-economic ideology that privileged equity over efficiency made for weak administrative regulation.",,10.1080/00076791.2020.1802429,Institutional logics; organizational form; hybrid organizing; cooperative; the Ottoman State
,the boundary of smallholder producers' cooperatives: a conceptual and empirical analysis,"Tadesse, G; Abate, GT; Ergano, K",JOURNAL OF AGRICULTURAL ECONOMICS,0021-857X,70,2,529-549,2019,WILEY,0,"This study demonstrates the emergence, subsequent diffusion, and early demise of Ottoman agricultural credit cooperatives, called Memleket Sandiks (OMSs), as they represent unique hybrid forms that blend state, community, and market logics in a single organizational configuration. The study narrates how changes in the Ottoman Empire's institutional order during the Tanzimat era enabled conditions that led to the emergence of OMSs. Subsequently, the practices of the form transformed, especially after the Russian-Ottoman War, concomitant with further changes in Ottoman society's institutional order. Although OMSs initially enjoyed legitimacy granted by the Ottoman State, the shift towards dominating state logic in the Hamidian era led to the erosion of practices animated by market and community logics. The form was discontinued as the increasingly autocratic state levied taxes and preyed upon the accumulated surplus, which disabled agglomerative capacity of sandiks and diminished the solidarity among cooperative members.",,10.1111/1477-9552.12310,Competitiveness; Ethiopia; organisational boundary; smallholder producers' cooperatives
,promoting social economy through cooperatives,"Rakitovac, KA; Bolkovic, ES",ECONOMIC AND SOCIAL DEVELOPMENT (ESD): 39TH INTERNATIONAL SCIENTIFIC CONFERENCE ON ECONOMIC AND SOCIAL DEVELOPMENT - SUSTAINABILITY FROM AN ECONOMIC AND SOCIAL PERSPECTIVE,1849-6903,,,475-483,2019,VARAZDIN DEVELOPMENT & ENTREPRENEURSHIP AGENCY,,"In this study we explain the concepts, determinants and imperatives of boundary in smallholder producers' cooperatives both conceptually and empirically. The conceptual framework indicates the importance of the type of goods (being a club good or not) and range of activities that a cooperative provides to its members in defining a competitive boundary. Using unique organisational and market level data from Ethiopia, we then test empirically whether the observed (weak) performance of producers' cooperatives in Africa is explained by their organisational boundary - the type and range of goods or services they provide to members. The empirical results confirm that the competitiveness of producers' cooperatives is significantly correlated with the type and number of services - i.e. cooperatives that provide club goods and a limited range of services are found to be more competitive. The results also suggest that a considerable number of cooperatives in Ethiopia engage in markets where they do not have competitive advantage. Overall, we demonstrate the importance of properly defining a viable boundary - proper selection of services (or markets) and limiting the range of services - for improving the competitiveness of membership-based producer cooperatives in Africa.",,,social economy; cooperatives; EU; Croatia
,institutional issues and prerequisites for efficient savings mobilization and allocation in rural and lesser developed regions in china,"Scott, D; Druschel, K",RURAL FINANCE AND CREDIT INFRASTRUCTURE IN CHINA,,,,34-50,2004,ORGANIZATION ECONOMIC COOPERATION & DEVELOPMENT,,"Social economy nowadays embraces a great plurality of actors, i.e. cooperatives, social enterprises, credit cooperatives, mutual insurance companies, insurance cooperatives, various NGOs, addressed to solving developmental, social, cultural, educational, environmental and other challenges the contemporary society is faced with. The paper reflects on the role of cooperatives in addressing those challenges. Cooperatives, as people-centred enterprises owned, controlled and managed by and for their members, have significant impacts on redirecting economic processes, solving social challenges, improving the quality of life in the local community and environmental protection in many countries all over the world. The purpose of the paper is to analyse the state, trends and challenges regarding development of cooperatives, in the context of social economy, in Croatia. The research was realised in two phases during 2018, using on-line questionnaires as main research instruments. The first phase was related to specific characteristics of cooperatives operating in Croatia and challenges they are faced with while the second part was related to students' perceptions and attitudes regarding cooperatives as business models. This paper presents the result of the first research phase. The research has revealed various internal and external barriers which hinder further development of cooperatives in Croatia. The research results contribute to deeper understating of challenges and barriers cooperative are face with in Croatia.",,,
,improvement of supply chain services in the greek agrifood sector,"Panousopoulou, P; Papadopoulou, EM; Manthou, V; Vlachopoulou, M","BUSINESS TRANSFORMATION THROUGH INNOVATION AND KNOWLEDGE MANAGEMENT: AN ACADEMIC PERSPECTIVE, VOLS 3 AND 4",,,,1666-1680,2010,INT BUSINESS INFORMATION MANAGEMENT ASSOC-IBIMA,,"This paper outlines the institutional prerequisites needed to achieve a commercially sustainable rural financial services industry in China. It presents a vision for a future rural financial services industry built around a core of commercially-oriented financial institutions operated with sound corporate governance structures and the autonomy to develop and price products appropriate to target clientele. Complementary services such as credit information registries, credit guarantee schemes, and collateral registries, when suitably arranged according to best practice principles, would reduce transaction costs and information asymmetries in the market. Improved prudential regulations and supervision capacity would promote overall banking sector soundness. The paper evaluates the actions needed to achieve such a vision, highlighting issues facing rural credit co-operatives (RCCs), state-owned commercial banks, and the potential role of development banks as well as current initiatives in creating complementary service providers. It outlines the capacity building efforts financial institutions will need to undertake and the reorientation of bank supervision functions that will need to occur. Finally, the paper advocates for the comprehensive implementation of a pilot project in commercially sustainable rural finance of sufficient scale to provide broadly applicable lessons, and provides details of the proposed pilot.",,,agrifood supply chain; agrifood market; 3pl; reverse logistics; wholesale market
,radicalization as a reaction to failure: an economic model of islamic extremism,"Ferrero, M",PUBLIC CHOICE,0048-5829,122,2-Jan,199-220,2005,SPRINGER,0,"The improvement of supply chain services' operations in the agrifood sector is critical, signifying many reasons for further investigation in both vertical and horizontal level, including producers, cooperative unions, cooperatives, street markets, retail markets, wholesalers, super markets and end consumers. Retail consolidation, technological change in production and marketing, and growing consumer demand for produce, have altered the traditional market relationships between producers, wholesalers, and retailers. Against these changing supply and demand relations, fresh produce suppliers are being asked to provide additional services and incentives in exchange for volume purchases and other commitments by buyers. The demand for such fees and services coincides with new modes of retailer operation. Necessary processes such as washing, sorting, packing and distributing products, provided either by third party logistics provider or by producers owning relevant facilities at their premises. Product quality followed by food safety and traceability consist drivers for competition that, could secure repeat purchasing. Moreover, the usage of packaging materials along with their reverse disposal plays an important role saving both environmental and economic resources, as waste reduction has become a prime concern in industrialized countries. In view of depleted landfill and incineration capacities, efforts are made to re-integrate used products into industrial production processes for further use.",,10.1007/s11127-005-5792-2,
,strategic remuneration: perception of employees of public and private financial institutions in cascavel,"de Souza, RF; Weiss, LAS; Gomes, ARV; de Lima, SLL; Dal Vesco, DG",NAVUS-REVISTA DE GESTAO E TECNOLOGIA,2237-4558,9,2,24-39,2019,CENTRO UNIV SENAC,0,"This paper views Islamist radicals as self-interested political revolutionaries and builds on a general model of political extremism developed in a previous paper (Ferrero, 2002). Extremism is modelled as a production factor whose effect on expected revenue is initially positive and then turns negative, and whose level is optimally chosen by a revolutionary organization. The organization is bound by a free-access constraint and hence uses the degree of extremism as a means of indirectly controlling its level of membership with the aim of maximizing expected per capita income of its members, like a producer co-operative. The gist of the argument is that radicalization may be an optimal reaction to perceived failure (a widespread perception in the Muslim world) when political activists are, at the margin, relatively strongly averse to effort but not so averse to extremism. This configuration is at odds with secular, Western-style revolutionary politics but seems to capture well the essence of Islamic revolutionary politics, embedded as it is in a doctrinal framework.",,10.22279/navus.2019.v9n2.p24-39.757,Collaborators; Motivation; Perception; Strategic Remuneration; Incentive Systems
,the mitigating role of regulation on the concentric patterns of broadband diffusion. the case of finland,"Benseny, J; Töyli, J; Hämmäinena, H; Arcia-Moret, A",TELEMATICS AND INFORMATICS,0736-5853,41,,139-155,2019,ELSEVIER SCIENCE BV,0,"This research aims to analyze the perception of employees of public and private financial institutions on strategic remuneration. The methodology used in the study is classified, as far as the objectives, descriptive, regarding the procedures, survey or survey and as to the approach of the problem, quantitative. The data were collected through the application of a questionnaire in the period from May to July 2017 with employees of bank branches and credit cooperatives in the city of Cascavel, totaling 154 respondents. Data analysis was performed through multivariate analysis such as Factorial Analysis and Cronbach's Alpha. The results showed that the perception of employees of public institutions is explained in 69.08%, and the component that most explains this perception consists of Status. Regarding the employees' perception of private institutions, it was explained in 62.63%, and the main component refers to the Psychological and Social Incentives. It is concluded that direct remuneration, despite being a component that explains the remuneration of employees of both institutions, was not listed as the most explanatory.",,10.1016/j.tele.2019.04.008,Broadband diffusion; Broadband regulation; Population density; Community operators; Spatial analysis; Finland
,prospects for the participation of commercial banks in providing credit to the agriculture and food sectors in russia in view of the financial crisis,"Trushin, J",AGRICULTURAL FINANCE AND CREDIT INFRASTRUCTURE IN TRANSITION ECONOMIES,,,,159-163,1999,ORGANIZATION ECONOMIC COOPERATION & DEVELOPMENT,,"This article analyzes the role of Finnish regulation in achieving the broadband penetration goals defined by the National Regulatory Authority. It is well known that in the absence of regulatory mitigation the population density has a positive effect on broadband diffusion. Hence, we measure the effect of the population density on the determinants of broadband diffusion throughout the postal codes of Finland via Geographically Weighted Regression. We suggest that the main determinants of broadband diffusion and the population density follow a spatial pattern that is either concentric with a weak/medium/strong strength or non-concentric convex/concave. Based on 10 patterns, we argue that the Finnish spectrum policy encouraged Mobile Network Operators to satisfy ambitious Universal Service Obligations without the need for a Universal Service Fund. Spectrum auctions facilitated infrastructure-based competition via equitable spectrum allocation and coverage obligation delivery via low-fee licenses. However, state subsidies for fiber deployment did not attract investment from nationwide operators due to mobile preference. These subsidies encouraged demand-driven investment, leading to the emergence of fiber consumer cooperatives. To explain this emergence, we show that when population density decreases, the level of mobile service quality decreases and community commitment increases. Hence, we recommend regulators implementing market-driven strategies for 5G to stimulate local investment. For example, by allocating the 3.5 GHz and higher bands partly through local light licensing.",,,
,voluntary agencies as development organizations - theorizing the problem of efficiency and accountability,"BRETT, EA",DEVELOPMENT AND CHANGE,0012-155X,24,2,269-303,1993,BLACKWELL PUBL LTD,0,"The existing status of SBS-Agro is complex because it is faced with the problem of low farm profitability and indebtedness. Agroprombank, which was privatised in 1996, inherited many of the old problems of the Soviet system of credit allocation and repayment. The State has tried several approaches to provide credit to the agricultural sector since the beginning of the reforms. These include centralised subsidised credits, commodity credits and credits from the Special Fund of Subsidised Credit. However, all have more or less failed; the rate of repayment was very poor and most of the budgeted resources were dissipated by ineffective borrowers. Local administrations contributed to the low financial discipline. An agricultural finance and credit infrastructure could be created by the mutual efforts of the State and private capital. Credit co-operatives could be the effective tool.",,10.1111/j.1467-7660.1993.tb00486.x,
,strategy transformation path choice of rural commercial banks,"Wang, PG",PROCEEDINGS OF THE 2015 INTERNATIONAL CONFERENCE ON EDUCATION TECHNOLOGY AND ECONOMIC MANAGEMENT,2352-5398,22,,364-368,2015,ATLANTIS PRESS,,"Co-operatives, NGOs and community groups are being increasingly used as development agencies by policy-makers, because they are thought to provide more accountable, effective and equitable services in many areas than public or private agencies. This article attempts to consider some of the theoretical and practical implications of this growing role by treating them as 'value-driven' organizations, and asking how this differentiates them, in terms of efficiency and accountability, from public or private agencies. It notes the lack of developed theoretical models capable of dealing with this question, and examines the relevance of existing theories (neo-classical economics, public administration and especially varieties of organization theory including the New Institutional Economics) in dealing with agencies which claim to be dominated by motivations based on democracy and altruism rather than self-interest. The author looks at problems associated with the measurement of efficiency and enforcement of accountability in organizational life and at the need for effective incentives and sanctions which provide a stable basis for maintaining commitment. He then considers the issues involved in the enforcement of accountability to ensure the efficient use of resources in producer co-operatives on the one hand and service delivery NGOs on the other. In the former, the focus is on the strengths and weaknesses of market competition and the costs of collective management; in the latter on the varied relationships between 'principals and agents' involved in the production and management of services.",,,Rural commercial bank; strategy transformation; financial system reform
,the resource selection model for meeting the information needs of users in the sphere of small agribusiness,"Kudasheva, MS","INDUSTRY COMPETITIVENESS: DIGITALIZATION, MANAGEMENT, AND INTEGRATION, VOL 1",2367-3370,115,,130-138,2020,SPRINGER INTERNATIONAL PUBLISHING AG,0,"Rural commercial banks stem from rural credit cooperatives. They are important products of rural financial system reform. Since the establishment of system reform, significant achievements have been made. Great contributions have been made to rural economic development in China. Nowadays, original strategy of rural commercial banks cannot adapt fierce competitions of banking development. So, strategy transformation and upgrade have become great realistic problems faced by rural commercial banks. How to adjust and upgrade management strategy has become a focus. This paper proceeds from the reality, discusses strategy transformation path of rural commercial banks and related problems on the basis of relevant literatures and puts forward corresponding suggestions.",,10.1007/978-3-030-40749-0_16,Information need; Information request; Multi-criteria model; Function; Criterion; Agribusiness
,microcredit and development: a comparative analysis between brazilian and italian experiences,"De Oliveir, AJG",CAMBIO-RIVISTA SULLE TRASFORMAZIONI SOCIALI,2239-1118,10,19,59-72,2020,UNIV STUDI FIRENZE,0,"The study rationale is in the fact that the digitalization of the economy requires new approaches to organizing information services for the most vulnerable collective users in the field of agricultural production. The purpose of the study is to consider the process of selecting an information resource to meet the information needs of representatives of small agribusiness. The leading methods of the study are an abstract-logical method, the 5W + 1H formula set, as well as information theories, probabilities, and statistical methods. The paper proposes a multi-criteria model for selecting an information resource to meet the information needs of the representatives of small agribusiness within the framework of a specific request, depending on the characteristics of the formula 5W + 1H. The processes of assessing particular criterial functions and compiling the objective function of the model are also considered. The use of a multicriterial selection model is demonstrated on the example of the informational need of an agricultural agrotechnical consumer cooperative for updating the material and technical resources. The significance of the research topic is determined by the fact that in most cases for small agribusiness, information is the only resource (capital) at the initial stage of operation. More than that, the search process is hampered by the lack of the necessary level of qualification and information culture. The multi-criteria model of selecting an information resource can find its application both in scientific research of information needs and in modeling and development of information technologies for agribusiness.",,10.13128/cambio-8484,development; microcredit; solidarity finance; relationship banking
,"influence of cocoa hybrids on volatile compounds of fermented beans, microbial diversity during fermentation and sensory characteristics and acceptance of chocolates","Moreira, IMD; Miguel, MGDP; Ramos, CL; Duarte, WF; Efraim, P; Schwan, RF",JOURNAL OF FOOD QUALITY,0146-9428,39,6,839-849,2016,WILEY-HINDAWI,0,"Under favorable conditions, credit can improve the quality of life by financing essential assets and services, such as housing and education, also by fostering entrepreneurship. Although finance inclusion can widen social and economic opportunities, the successful usage of microcredit depends on the costs (rates of interests) and on the methodology applied to grant credit. Hence, through a bibliographic review, the paper presents a comparative analysis of three remarkable experiences on microfinance. Firstly, the Brazilian Community Development Banks (CDB), inspired by the Grameen Bank and devoted to reaching the poor of the poor. Secondly, the programs applied by some Public Development Banks (PDB) in Brazil to foster entrepreneurship through microcredit. Third, the Italian Credit Cooperatives (BCC - Banche di Credito Cooperativo), essential in the provision of credit for small enterprises and households. Despite their peculiarities, there are some similarities in their governance and methodologies applied to grant credit. The local dimension, the relationship lending to capture soft information for risk analysis, and the purpose of serving the community providing financial services instead of generating and distributing profits are standard features. These experiences could inspire a proposal for microfinance expansion, based on the ground principles of mutuality, solidarity, cooperation, and localism.",,10.1111/jfq.12238,
,"remembering ruth: the voice, the face, the work and the silence","Manghezi, A",REVIEW OF AFRICAN POLITICAL ECONOMY,0305-6244,41,139,84-96,2014,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0,"Microbial diversity, final concentration of volatiles compounds during fermentation and the characterization and acceptability of chocolates of three cocoa hybrids (PH 9, PH 15 and PH 16) were evaluated. Hanseniaspora uvarum, Pichia kluyveri, Pichia caribbica and Saccharomyces cerevisiae were the predominant yeasts in the three fermentations. Lactobacillus plantarum, Acetobacter pasteurianus, Bacillus cereus and Lysinibacillus fusiformis were the common bacterial species isolated from the fermentations. The PH 9 hybrid showed highest diversity of lactic acid bacteria and acetic acid bacteria. Twenty-seven volatile compounds were identified during the cocoa fermentation of all hybrids. Chocolate from PH 9 hybrid had most desirable flavors and obtained the most ideal score in acceptance test. Chocolate from PH 15 hybrid was considered the most bitter, acidic and astringent. Chocolates produced by different cocoa hybrids showed differences in sensory attributes and acceptance. Therefore, special management is required for the different hybrid fermentations to obtain high-quality chocolate. Practical ApplicationsAs a solution to the recovery of the cocoa crop in Brazil, many hybrids resistant to the disease called witches' broom were developed, but the impact of these crosses on cocoa quality, consequently in chocolate is not known. The producers' cooperatives and farmers of cocoa have no technical or scientific information about the behavior of cocoa hybrids during spontaneous fermentation process, which, oftentimes give rise to an uncontrolled fermentation of cocoa hybrids mixture. The results of this paper could be used among the producers' cooperatives and cocoa farmers for guidance about the influence of genetic improvement on the quality of cocoa fermented beans and chocolates, particularly among the three hybrids evaluated in this study.",,10.1080/03056244.2014.878078,Alexandra Bus Boycott; Mozambican Miner (Mineur mozambicain); chants de travail; entretiens; commentaires faits sur la mort de Ruth; Ruth First; Alexandra Bus Boycott; Ruth First; work songs; interviews; Mozambican Miner; condolences for Ruth
,understanding cooperative finance as a new common,"Périlleux, A; Nyssens, M",ANNALS OF PUBLIC AND COOPERATIVE ECONOMICS,1370-4788,88,2,155-177,2017,WILEY,0,"This article begins by evoking Ruth First's influence on South Africa, and later in Mozambique, in compelling personal terms. Ruth First was an important commentator on the Alexandra Bus Boycott of 1957, in which the author participated. Some 20 years later, the author was recruited by First to the CEA, where he worked with Ruth First and others on labour migration, forced labour and on the newly established communal villages and agricultural producer cooperatives. First, although heavily involved in administration, nevertheless managed to find time for fieldwork of this kind. The author contributed to ongoing fieldwork at the CEA, and his results were fed into the teaching through his contribution of interviews, work songs and other material for the Mozambican Miner, later published as Black Gold. Examples are given of the directness of Ruth's criticisms, and of her sympathy for ordinary Mozambicans. The article concludes with recollections of responses made to the author on Ruth's death.",,10.1111/apce.12160,Common; Financial cooperative; Property regime; Demutualization
,economic interests and the origins of electoral systems,"Cusack, TR; Iversen, T; Soskice, D",AMERICAN POLITICAL SCIENCE REVIEW,0003-0554,101,3,373-391,2007,CAMBRIDGE UNIV PRESS,0,"The emerging field of common good socio-economics is promising not only for the preservation of common natural resources but also for common goods created by people through collective action, the importance of which has been emphasized by the recent financial and economic crisis. Based on the case of cooperative finance, this paper's outcomes are twofold. First, it shows that while the boundaries between the nature and property regime of goods may be relatively clear for natural common goods, they appear much more interlinked for human-made goods, where commons are embedded in intergenerational reciprocity. Second, it demonstrates that financial cooperatives can be understood as human-made commons and proposes a new way of thinking about public policies to design adequate legislation to protect these commons from isomorphism, privatization and destruction.",,10.1017/S0003055407070384,
,"retracted: risk analysis method of bank microfinance based on multiple genetic artificial neural networks (retracted article. see dec, 2022)","Zhong, X; Zhou, S",NEURAL COMPUTING & APPLICATIONS,0941-0643,32,10,5367-5377,2020,SPRINGER LONDON LTD,0,"The standard explanation for the choice of electoral institutions, building on Rokkan's seminal, is that proportional representation (PR) was adopted by a divided right to defend its class interests against a a rising left. But new evidence shows that PR strengthens the left and redistribution, and we argue the standard view is wrong historically, analytically, and empirically. We offer a radically different explanation. Integrating two opposed interpretations of PR-minimum winning coalitions versus consensus-we propose that the right adopted PR when their support for consensual regulatory frameworks, especially those of labor markets and skill formation where co-specific investments were important, outweighed their opposition to the redistributive consequences; this occurred in countries with previously densely organized local economies. In countries with adversarial industrial relations, and weak coordination of business and unions, keeping majoritarian institutions helped contain the left. This explains the close association between current varieties of capitalism and electoral institutions, and why they persist over time.",,10.1007/s00521-019-04683-y,Multiple inheritance; Artificial neural network; Bank microloan; Risk assessment
,diagnostics by financial regulators of financial institutions preparedness to the implementation of economic security management,"Zachosova, N; Babina, N",BALTIC JOURNAL OF ECONOMIC STUDIES,2256-0742,4,4,106-115,2018,BALTIC JOURNAL ECONOMIC STUDIES,0,"As a supplement to the financing of small- and medium-sized enterprises, bank microfinance companies are nonbank financial institutions, and it has played an active role in maintaining the stability of financial markets. However, in the course of the operation of microfinance companies, due to the lack of careful management and risk control, the problem of risk management has become increasingly prominent. The purpose of this paper is to study the microfinance risk based on polygenic artificial neural network, and it provides theory and practice application for risk management of microcredit enterprises. Taking the risk management of China's microfinance companies as the research object, on the basis of previous studies, this paper analyzes the risks of bank microfinance companies. Secondly, the basic theory of neural network model and its transformation function are introduced, and the learning method of neural network. At the same time, the learning algorithm of neural network and its improved algorithm are mainly introduced. It lays a theoretical foundation for the follow-up empirical research. Then, through the empirical study of data-based risk assessment of microcredit of farmers, the sample data are divided into training samples and test samples for comparison. Then, we use MATLAB software to establish a neural network model for farmers' microcredit risk assessment. Finally, in order to make the neural network model of farmers' credit risk assessment better popularize and apply, and effectively reduce the credit risk of farmers' microcredit. The corresponding policy suggestions are put forward, which proves the validity and applicability of the neural network in the field of farmers' microcredit risk assessment. It provides a good basis for rural credit cooperatives to identify the credit risk of farmers.",,10.30525/2256-0742/2018-4-4-106-115,management; economic security; financial institutions; regulation; financial market; economic security management
,"privatization incidence, ownership forms, and firm performance: evidence from slovenia","Smith, SC; Cin, BC; Vodopivec, M",JOURNAL OF COMPARATIVE ECONOMICS,0147-5967,25,2,158-179,1997,ACADEMIC PRESS INC ELSEVIER SCIENCE,0,"In the conditions of the financial system destabilization in Ukraine, caused by such negative phenomena as military actions in the East, the economic downturn, political and financial crises, population disappointment in the institution of power and loss of the people's confidence in power structures and so on, market mechanisms are not able to ensure the restoration of the national financial market and to encourage its professional participants to use mechanisms of protection their own assets and the assets of their clients from external and internal threats actively. State interference in the functioning of financial institutions is necessary, especially for those of their types, whose bankruptcy may have fatal consequences for the welfare of the population and cause the liquidation of economic entities of the domestic economy. Among them are: banks, insurance companies, credit unions, and other institutions of credit co-operation, investment companies, in particular, joint investment institutions (unit and corporate investment funds), non-state pension funds, leasing, factoring, and other financial companies, pawns, etc. Therefore, it is expedient to consider the possibility of the influence of state regulators in financial services markets on the state of their participants' economic security. However, the study of the realities of the financial market of Ukraine development has made it possible to assert that for a number of financial institutions, the concept of economic security is something abstract, and the understanding by their top management the importance of economic security management, taking into account the negative market trends, is completely absent. So, the purpose of this study is to diagnose the level of financial institutions preparedness for the implementation of economic security management into their common system of management. The high level of financial market participants' readiness for safe-oriented management will allow regulators to rapidly implement in their practice a list of recommendations that will minimize the threat of bankruptcy and liquidation of domestic financial institutions. Methodology. In the process of preparing a scientific article, a great number of literary sources was considered. Some of them were developed using the method of theoretical generalization and the monographic method. The theoretical results presented in the research materials were obtained on the basis of the study of works of such scientists as Amadae S. M., Baily M. N., Elliott D. J., Ismail Z., Johnson K. N., Mirtchev A., Nelson J. A., Raczkowski K., Schneider F., Sidek Z. M., Ula M., Whalen C. J., Wierzbicka E., Yong J. To confirm the reliability of the scientific results presented in the article, the authors used the Delphi method and expert evaluation. The list of indicators for assessing the level of financial institutions readiness for the implementation of a mechanism for managing economic security in the following five areas is formed. These areas are: the availability and condition of the economic security system, the state of information and analytical support for the adoption of management decisions in the field of economic security, the state of intellectual and personnel management provision of economic security, reserves of financial support of economic security, the level of external influence on the state of economic security (state regulation and supervision). In May 2018, representatives of the top management of various types of financial institutions, scientists, researchers, and analysts who were interested in the issues of economic security management of the financial sector were interviewed. Their answers were analysed and the level of readiness for managing the economic security of the most common types of financial institutions in the financial market of Ukraine was determined. Using the graphical method, the obtained scientific results are presented in a convenient and understandable form for the perception of all interested persons. Results of the survey. The necessity of carrying out diagnostics of the readiness to manage economic security at the level of state regulatory bodies and at the level of top management of financial institutions in the near future is substantiated. A large-scale analytical work was carried out on determining the parameters of financial institutions readiness for the continuous and professional economic security management, which should be carried out with the use of a systematic approach. Based on expert opinions, a preliminary assessment of the various types of financial intermediaries' readiness to integrate security-oriented management into the financial institutions' common management system was made. Practical implications. The proposed methodological approach for assessing the level of financial institutions readiness to manage their own economic security should be used by the state regulators of the financial market, in particular, by the National Bank of Ukraine and the National Commission, which performs state regulation in the field of financial services markets, to monitor the activities of professional financial market participants in order to conduct advisory and consultative work with their owners and managers, as well as for the development of strategic guidelines for the provision of the state financial security. It is desirable to implement into the practical activities of financial intermediaries our proposals for increasing the readiness for implementation of the economic security management mechanism in the existing systems of management. Value/originality. For the first time, a scoring methodology was prepared for assessing the level of financial institutions readiness for the implementation of economic security management as an independent direction of management, and not as one of the tasks of other types of their management activity. At the theoretical level, the substantive interpretation of the notion of the readiness of financial institutions to manage their own economic security is proposed. The reasons for the impossibility of the modern financial institutions to manage their own economic security effectively are identified, and a few suggestions to minimize their number in the near future were made.",,10.1006/jcec.1997.1463,
,"productivity, capital, and labor in labor-managed and conventional firms: an investigation on french data","Fakhfakh, F; Pérotin, V; Gago, M",ILR REVIEW,0019-7939,65,4,847-879,2012,"CORNELL UNIV, ILR SCHOOL",0,"There is active debate in transition economies about the extent to which employee and foreign ownership ought to be encouraged or discouraged in privatization, but empirical evidence is scarce. This paper employs a unique data set on Slovene firms during an early period of ''spontaneous privatization.'' Characteristics of the incidence of employee and foreign ownership and associated firm performance are examined. The paper controls for simultaneity between privatization and firm performance using a two-stage Tobit least-squares procedure. An elasticity of output with respect to ownership type is estimated. A percentage point increase in foreign ownership is associated with about a 3.9% increase in value-added and for employee ownership with about a 1.4% increase. there is evidence of diminishing marginal productivity gains for both forms of ownership. (C) 1997 Academic Press.",,10.1177/001979391206500404,
,the scope for non-profit objectives in a mixed oligopoly under international competition,"Willner, J; Grönblom, S; Kainu, A; Flink, J",ANNALS OF PUBLIC AND COOPERATIVE ECONOMICS,1370-4788,89,2,414-436,2018,WILEY,,"Using two new data sets from France, the authors present die first study of the comparative productivity of labor-managed and conventional firms involving large representative samples of firms in a range of industries including services. Their study offers new stylized facts on labor-managed firms, and disentangles incentive effects from those of differences in input demand behavior on factor elasticities. Contrary to received wisdom, labor-managed firms are not smaller than conventional firms; they grow as fast or faster in all industries. The two groups of firms organize production differently. Labor-managed firms are as productive as conventional firms, or more productive, in all industries, and use their inputs efficiently; but in several industries conventional firms would produce more with their current input levels if they organized production like labor-managed firms. On average overall, firms would produce more using the labor-managed firms' industry-specific technologies. Labor-managed firms do not produce at inefficiently low scales.",,,Mixed oligopoly; international trade; non-profit objectives
