authors,title,source_title,issn,doi,year,base
Juliá-Igual J.F.; Meliá-Martí E.; García-Martinez G.,strategies developed by leading eu agrifood cooperatives in their growth models,Service Business,18628508,10.1007/s11628-011-0129-3,2012,scopus
Oglethorpe D.; Heron G.,testing the theory of constraints in uk local food supply chains,International Journal of Operations and Production Management,01443577,10.1108/IJOPM-05-2011-0192,2013,scopus
Robertson N.,collective strength and mutual aid financial provisions for members of cooperative societies in britain,Business History,00076791,10.1080/00076791.2012.706895,2012,scopus
Kumar Yadav B.; Kumar R.; Kumar Y.,economics of milk production in meerut district of western up india,Plant Archives,09725210,,2013,scopus
Manzhura O.,problems of the consumer cooperatives system reorganizing in ukraine,Economic Annals-XXI,17286220,,2013,scopus
Bardhan D.; Sharma M.L.,determinants and implications of smallholder participation in dairy cooperatives evidence from uttarakhand state of india,Indian Journal of Agricultural Economics,00195014,,2012,scopus
Scriven J.,developing redd+ policies and measures from the bottomup for the buffer zones of amazonian protected areas,"Environment, Development and Sustainability",1387585X,10.1007/s10668-012-9350-z,2012,scopus
Shylendra H.S.,microfinance and the cooperatives in india can the poor gain from their coming together,International Journal of Rural Management,09730680,10.1177/0973005213499221,2013,scopus
Box J.A.R.; Moreno V.M.; Urena L.J.B.,analysis of survival as a tool for detection of systemic risks in decisionmaking a proposed theoretical model for spanish credit cooperative sector,Actual Problems of Economics,19936788,,2013,scopus
Eckert A.; Mecca M.S.; Biasio R.; Sassi E.,analysis of cost management and pricing strategies in a store of agricultural products,Custos e Agronegocio,18082882,,2013,scopus
Iliopoulos C.; Valentinov V.,opportunism in agricultural cooperatives in greece,Outlook on Agriculture,00307270,10.5367/oa.2012.0071,2012,scopus
Fousekis P.; Panagiotou D.,price and location equilibria in a circular market a pure vs a mixed duopsony with a cooperative,Agricultural Economics (Czech Republic),0139570X,10.17221/129/2012-agricecon,2013,scopus
Minegishi S.,market structure and competitiveness of credit associations and credit cooperatives in japan,International Journal of Monetary Economics and Finance,17520479,10.1504/IJMEF.2012.049046,2012,scopus
Purcell T.F.,the political economy of social production companies in venezuela,Latin American Perspectives,1552678X,10.1177/0094582X13476007,2013,scopus
Rubin G.M.; Overstreet Jr. G.A.; Beling P.; Rajaratnam K.,a dynamic theory of the credit union,Annals of Operations Research,02545330,10.1007/s10479-012-1246-7,2013,scopus
Moragues-Faus A.M.; Ortiz-Miranda D.,governing cooperative quality schemes lessons from olive oil initiatives in valencia spain,Outlook on Agriculture,00307270,10.5367/oa.2012.0072,2012,scopus
Moreira V.R.; da Silva C.L.; de Moraes E.A.; Protil R.M.,o cooperativismo e a gestão dos riscos de mercado análise da fronteira de eficiência do agronegócio paranaense,Revista de Economia e Sociologia Rural,01032003,10.1590/S0103-20032012000100003,2012,scopus
Cerrone R.,banks internal controls and risk management valueadded functions in italian credit cooperative banks,Risk Governance and Control: Financial Markets and Institutions,2077429X,10.22495/rgcv3i4art2,2013,scopus
Dahlheim R.; Pike W.J.,generating electricity from produced water,"JPT, Journal of Petroleum Technology",01492136,,2012,scopus
Pícha K.; Skořepa L.; Navrátil J.,assessment of the results of the strategic orientation on regional and local products in food retail,Acta Universitatis Agriculturae et Silviculturae Mendelianae Brunensis,12118516,10.11118/actaun201361041061,2013,scopus
Izquierdo R.J.S.; Vicedo J.C.,corporate social responsibility of financial organizations in the social economy a case study on savings banks,Service Business,18628508,10.1007/s11628-011-0124-8,2012,scopus
Power G.J.; Salin V.; Park J.L.,strategic options associated with cooperative members equity,Agricultural Finance Review,00021466,10.1108/00021461211222123,2012,scopus
Oluwatayo I.,banking the unbanked in rural southwest nigeria showcasing mobile phones as mobile banks among farming households,Journal of Financial Services Marketing,14791846,10.1057/fsm.2013.2,2013,scopus
Costa D.R.D.M.; Chaddad F.R.; De Azevedo Furquim P.,separação entre propriedade e decisão de gestão nas cooperativas agropecuárias brasileiras,Revista de Economia e Sociologia Rural,01032003,10.1590/S0103-20032012000200005,2012,scopus
Agahi H.; Karami S.,a study of factors effecting social capital management and its impact on success of production cooperatives,Middle East Journal of Scientific Research,19998147,10.5829/idosi.mejsr.2013.15.6.11312,2013,scopus
Bourjade S.; Schindele I.,group lending with endogenous group size,Economics Letters,01651765,10.1016/j.econlet.2012.07.034,2012,scopus
Toms S.,producer cooperatives and economic efficiency evidence from the nineteenthcentury cotton textile industry,Business History,00076791,10.1080/00076791.2012.706900,2012,scopus
Freitas A.F.D.; Freitas A.F.D.,os alicerces sociopolíticos do cooperativismo de crédito rural solidário na zona da mata de minas gerais,Revista de Economia e Sociologia Rural,01032003,10.1590/S0103-20032013000300002,2013,scopus
Choudhary A.K.; Thakur S.K.; Suri V.K.,technology transfer model on integrated nutrient management technology for sustainable crop production in highvalue cash crops and vegetables in northwestern himalayas,Communications in Soil Science and Plant Analysis,15322416,10.1080/00103624.2013.783058,2013,scopus
Cook M.L.; Burress M.J.,the impact of ceo tenure on cooperative governance,Managerial and Decision Economics,10991468,10.1002/mde.2585,2013,scopus
Balnave N.; Patmore G.,rochdale consumer cooperatives in australia decline and survival,Business History,00076791,10.1080/00076791.2012.706899,2012,scopus
Valentinov V.; Iliopoulos C.,property rights problems in agricultural cooperatives a heterodox institutionalist perspective,German Journal of Agricultural Economics,21914028,,2012,scopus
Bubb R.; Kaufman A.,consumer biases and mutual ownership,Journal of Public Economics,00472727,10.1016/j.jpubeco.2013.06.002,2013,scopus
Mujawamariya G.; D'Haese M.; Speelman S.,exploring double sideselling in cooperatives case study of four coffee cooperatives in rwanda,Food Policy,03069192,10.1016/j.foodpol.2012.12.008,2013,scopus
Szendrei E.,from being a coop town we have become a town of unemployed,Acta Ethnographica Hungarica,15882586,10.1556/AEthn.58.2013.1.7,2013,scopus
Szabo L.; Grznár M.,farms in the less favoured area conditions in slovakia,Agricultural Economics (Czech Republic),0139570X,10.17221/122/2013-agricecon,2013,scopus
Ando M.; Horiguchi K.,japanese agricultural competitiveness and migration,Migration Letters,17418984,10.33182/ml.v10i2.140,2013,scopus
Milford A.B.,the procompetitive effect of coffee cooperatives in chiapas mexico,Journal of Agricultural and Food Industrial Organization,15420485,10.1515/1542-0485.1362,2012,scopus
Chia J.; Peters M.,social capital initiatives employees and communication managers leading the way,Journal of Promotion Management,15407594,10.1080/10496490903578477,2010,scopus
Burke B.; Piekielek J.,cooperatives politics and development in rural paraguay,Human Organization,00187259,10.17730/humo.70.4.e85247u43753r171,2011,scopus
Lee J.; Kim H.; Kim S.,development of an integrated general model igm system for comparison of genetic gains from different bull selection strategies for korean brown cattle hanwoo,Asian-Australasian Journal of Animal Sciences,10112367,10.5713/ajas.2011.10185,2011,scopus
Fatas E.; Jimenez-jimenez F.; Morales A.J.,blind fines in cooperatives,Applied Economic Perspectives and Policy,20405804,10.1093/aepp/ppq017,2010,scopus
Jane M.; Gibbon D.; Ingram J.; Reed M.; Short C.; Dwyer J.,organising collective action for effective environmental management and social learning in wales,Journal of Agricultural Education and Extension,17508622,10.1080/1389224X.2011.536356,2011,scopus
Pi J.,boundaries of cooperative organization,Actual Problems of Economics,19936788,,2011,scopus
Mayo E.,cooperative performance,"Sustainability Accounting, Management and Policy Journal",20408021,10.1108/20408021111162182,2011,scopus
Cornwallis C.K.; West S.A.; Davis K.E.; Griffin A.S.,promiscuity and the evolutionary transition to complex societies,Nature,14764687,10.1038/nature09335,2010,scopus
Sanchis-Palacio J.R.; Melián-Navarro A.,strategic diagnosis of spanish farming cooperative credit sections a swot analysis,Annals of Public and Cooperative Economics,14678292,10.1111/j.1467-8292.2011.00435.x,2011,scopus
Hofer E.; Tortato U.; Protil R.M.; Schultz C.A.,strategic cost management among milk value chain a study case,Custos e Agronegocio,18082882,,2010,scopus
Melián-Navarro A.; Campos-Climent V.; Sanchis-Palacio J.R.,analysis of mergers between rural savings banks and their influence on agrarian cooperatives the valencian case in spain análisis de las fusiones entre cajas rurales y su influencia en las cooperativas agrarias el caso valenciano en españa,Innovar,01215051,,2011,scopus
De Sá J.,professional and cooperative education in portugal formación profesional y cooperativa en portugal,Cuadernos de Desarrollo Rural,01221450,,2010,scopus
Weber J.G.,how much more do growers receive for fair tradeorganic coffee,Food Policy,03069192,10.1016/j.foodpol.2011.05.007,2011,scopus
de Gregori R.; Flores S.A.M.,risk management and cost management in the agricultural cooperatives of rio grande do sulrs,Custos e Agronegocio,18082882,,2011,scopus
Leismann E.L.; de Montreuil Carmona C.U.,sustentabilidade financeira das instituições de microfinanças brasileiras análise das cooperativas de crédito singulares,Revista de Economia e Sociologia Rural,01032003,10.1590/S0103-20032010000400007,2010,scopus
Froelich K.; Mckee G.; Rathge R.,succession planning in nonprofit organizations,Nonprofit Management and Leadership,15427854,10.1002/nml.20037,2011,scopus
Lemeilleur S.; Codron J.-M.,marketing cooperative vs commission agent the turkish dilemma on the modern fresh fruit and vegetable market,Food Policy,03069192,10.1016/j.foodpol.2010.11.024,2011,scopus
Huyen L.T.T.; Herold P.; Valle Zárate A.,farm types for beef production and their economic success in a mountainous province of northern vietnam,Agricultural Systems,0308521X,10.1016/j.agsy.2009.11.004,2010,scopus
Abramovay R.; Magalhães R.; Schroder M.,representativeness and innovation in the management of the participatory processes the case of the brazilian organizations of family farmers representatividade e inovação na governança dos processos participativos o caso das organizações brasileiras de agricultores familiares,Sociologias,15174522,10.1590/S1517-452220100002000010,2010,scopus
Reig-Martínez E.; Gómez-Limón J.A.; Picazo-Tadeo A.J.,ranking farms with a composite indicator of sustainability,Agricultural Economics,15740862,10.1111/j.1574-0862.2011.00536.x,2011,scopus
Selwyn B.,globalized horticulture the formation and global integration of export grape production in north east brazil,Journal of Agrarian Change,14710366,10.1111/j.1471-0366.2009.00245.x,2010,scopus
Thakar K.P.; Patel D.A.; Darji V.B.,role of cooperative in horticulture marketing a case study of amalsad cooperatives in south gujarat,Research on Crops,09723226,,2010,scopus
Ortiz-Miranda D.; Moreno-Pérez O.M.; Moragues-Faus A.M.,innovative strategies of agricultural cooperatives in the framework of the new rural development paradigms the case of the region of valencia spain,Environment and Planning A,14723409,10.1068/a42168,2010,scopus
Adinya I.B.; Offem B.O.; Ikpi G.U.,application of a stochastic frontier production function for measurement and comparision of technical efficiency of mandarin fish and clown fish production in lowlands reservoirs ponds and dams of cross river state nigeria,Journal of Animal and Plant Sciences,10187081,,2011,scopus
Ward A.M.; McKillop D.G.,profiling a strategy for successful volunteer recruitment in credit unions,Financial Accountability and Management,02674424,10.1111/j.1468-0408.2010.00506.x,2010,scopus
Earl P.D.,orderly marketing reality rhetoric or myth,Journal of Historical Research in Marketing,1755750X,10.1108/17557501111157760,2011,scopus
Manos B.; Manikas I.,traceability in the greek fresh produce sector drivers and constraints,British Food Journal,0007070X,10.1108/00070701011052727,2010,scopus
Hanson J.C.; Matavulj M.; Manzuk G.; Richardson J.G.,agricultural cooperatives and unions of cooperatives in bosnia and herzegovina opportunities for improvement in providing services and educational programs for farmers,Journal of Rural Cooperation,03777480,,2010,scopus
Jia X.; Huang J.,contractual arrangements between farmer cooperatives and buyers in china,Food Policy,03069192,10.1016/j.foodpol.2011.06.007,2011,scopus
Puckett C.,administering social security challenges yesterday and today,Social Security Bulletin,00377910,,2010,scopus
Pezeshki-Rad G.; Biglari N.; Zamani-Miandashti N.,empowering agricultural production cooperatives a nationwide survey of definitions and strategies in iran,Human Resource Development International,13678868,10.1080/13678868.2011.620780,2011,scopus
Chauhan R.S.,socioeconomic improvement through medicinal and aromatic plants maps cultivation in uttarakhand india,Journal of Sustainable Agriculture,15407578,10.1080/10440046.2010.493390,2010,scopus
Xiong X.; Tian J.; Ruan H.,a deamodel evaluation of the efficiency of peasant household credit investigation system in rural credit cooperatives a positive research in hubei province china,China Agricultural Economic Review,17561388,10.1108/17561371111103543,2011,scopus
Po L.,property rights reforms and changing grassroots governance in chinas urbanrural peripheries the case of changping district in beijing,Urban Studies,1360063X,10.1177/0042098010390233,2011,scopus
Oh J.Y.; Sang M.K.; Oh J.-E.; Lee H.; Ryoo M.I.; Kim K.D.,microbial population aflatoxin contamination and predominant aspergillus species in korean stored rice,Plant Pathology Journal,20939280,10.5423/PPJ.2010.26.2.121,2010,scopus
Lins e Silva Pires M.L.,cooperatives and production dynamics in disadvantaged areas the case of small agricultural cooperatives in southern france cooperativismo e dinâmicas produtivas em zonas desfavorecidas o caso das pequenas cooperativas agrícolas do sul da frança,Sociologias,15174522,10.1590/S1517-45222011000100010,2011,scopus
Giuliani A.; Van Oudenhoven F.; Mubalieva S.,agricultural biodiversity in the tajik pamirs,Mountain Research and Development,02764741,10.1659/MRD-JOURNAL-D-10-00109.1,2011,scopus
Renard M.-C.,the mexican coffee crisis,Latin American Perspectives,1552678X,10.1177/0094582X09356956,2010,scopus
Baldassarri D.; Grossman G.,centralized sanctioning and legitimate authority promote cooperation in humans,Proceedings of the National Academy of Sciences of the United States of America,10916490,10.1073/pnas.1105456108,2011,scopus
Yael K.; Israel F.,a comparative analysis of antitrust regulations in the agricultural sector in israel the us and the eu,Journal of Rural Cooperation,03777480,,2010,scopus
Mendonça S.A.; De Gregori R.,analysis of the financial risk in agricultural cooperatives of rio grande do sul,Custos e Agronegocio,18082882,,2011,scopus
Palacpac E.P.,spurring dairy buffalo development in the philippines through cooperatives negotiations and networks,Journal of Rural Cooperation,03777480,,2010,scopus
Kulatilake M.; Liyanage H.S.W.A.; Fernando W.M.J.R.; Chandrasoma J.; van der Knaap M.,development of comanagement in the inland fisheries in sri lanka case studies of senenayake samudra and mahavilachchiya reservoirs,Aquatic Ecosystem Health and Management,15394077,10.1080/14634988.2010.503554,2010,scopus
Bacon C.M.,a spot of coffee in crisis nicaraguan smallholder cooperatives fair trade networks and gendered empowerment,Latin American Perspectives,1552678X,10.1177/0094582X09356958,2010,scopus
Kimura A.H.,between technocracy and democracy an experimental approach to certification of food products by japanese consumer cooperative women,Journal of Rural Studies,07430167,10.1016/j.jrurstud.2009.09.007,2010,scopus
Renard M.-C.,in the name of conservation cafe practices and fair trade in mexico,Journal of Business Ethics,15730697,10.1007/s10551-010-0584-0,2010,scopus
Piekielek J.,cooperativism and agroforestry in the eastern amazon the case of toméaçu,Latin American Perspectives,1552678X,10.1177/0094582X10382097,2010,scopus
Wang H.H.; Park J.W.; Baker T.,contracting negotiation and the policy change the conflict between korean farmers and their agricultural cooperatives,Agricultural Economics,0139570X,10.17221/173/2010-agricecon,2011,scopus
Ward A.M.; McKillop D.G.,an examination of volunteer motivation in credit unions informing volunteer resource management,Annals of Public and Cooperative Economics,14678292,10.1111/j.1467-8292.2011.00438.x,2011,scopus
Graefe S.; Dufour D.; Giraldo A.; Muñoz L.A.; Mora P.; Solís H.; Garcés H.; Gonzalez A.,energy and carbon footprints of ethanol production using banana and cooking banana discard a case study from costa rica and ecuador,Biomass and Bioenergy,09619534,10.1016/j.biombioe.2011.02.051,2011,scopus
Adusei M.; Appiah S.,determinants of group lending in the credit union industry in ghana,Journal of African Business,15229076,10.1080/15228916.2011.588914,2011,scopus
Janová J.,the dynamic programming approach to long term production planning in agriculture,Acta Universitatis Agriculturae et Silviculturae Mendelianae Brunensis,12118516,10.11118/actaun201159020129,2011,scopus
Jossa B.,the democratic road to socialism,Rivista Internazionale di Scienze Sociali,0035676X,,2010,scopus
Ziv N.,credit cooperatives in early israeli statehood financial institutions and social transformation,Theoretical Inquiries in Law,15653404,10.2202/1565-3404.1241,2010,scopus
Bolotova Y.; McIntosh C.S.; Patterson P.E.; Muthusamy K.,is stabilization of potato price effective empirical evidence from the idaho russet burbank potato market,Agribusiness,15206297,10.1002/agr.20213,2010,scopus
Siebert J.W.; Park J.L.,maintaining a healthy equity structure a policy change at producers cooperative association,International Food and Agribusiness Management Review,15592448,,2010,scopus
Trejo-Pech C.O.; López-Reyna M.C.; House L.A.; Messina W.,appellation of origin status and economic development a case study of the mezcal industry,International Food and Agribusiness Management Review,15592448,,2010,scopus
Urbáez F.M.; Rosa R.O.,knowledge intermediation the knowledge management process in venezuelan agricultural cooperatives intermediación de conocimiento proceso de la gestión del conocimiento en cooperatives agropecuarias venezolanas,Revista Venezolana de Gerencia,13159984,,2011,scopus
Rossés G.F.; Ferreira G.M.V.; Stecca J.P.; Gelatti C.B.,management system in cooperatives the julio de castilhos agricultural and cattleraising cooperative sistema de gestão em cooperativas o caso da cooperativa agropecuária júlio de castilhos,Revista em Agronegocio e Meio Ambiente,21769168,,2011,scopus
McCune N.M.; González Y.R.; Alcántara E.A.; Martínez O.F.; Fundora C.O.; Arzola N.C.; Cairo P.C.; D'Haese M.; Deneve S.; Hernández F.G.,global questions local answers soil management and sustainable intensification in diverse socioeconomic contexts of cuba,Journal of Sustainable Agriculture,15407578,10.1080/10440046.2011.586595,2011,scopus
Wilson N.; Hall T.; Fields D.,measuring retail service quality in farm supply cooperatives,International Food and Agribusiness Management Review,15592448,,2011,scopus
Thomas T.; Gunden C.; Miran B.; Manoi M.A.,farmers assessment of social and economic benefits derived from cooperatives private firms and other agricultural organizations in the aegean region of turkey,"Journal of Food, Agriculture and Environment",14590255,,2011,scopus
Seibel H.D.; Tam N.T.,the peoples credit funds of vietnam a prudentially regulated credit cooperative movement,Enterprise Development and Microfinance,17551978,10.3362/1755-1986.2010.012,2010,scopus
Graubner M.; Koller I.; Salhofer K.; Balmann A.,cooperative versus noncooperative spatial competition for milk,European Review of Agricultural Economics,14643618,10.1093/erae/jbq054,2011,scopus
Welker M.; Partridge D.J.; Hardin R.,corporate lives new perspectives on the social life of the corporate form an introduction to supplement 3,Current Anthropology,00113204,10.1086/657907,2011,scopus
Valdez S.,subsidizing the cost of collective action international organizations and protest among polish farmers during democratic transition,Social Forces,15347605,10.1093/sf/sor036,2011,scopus
Chakraborty D.,small holders carbon forestry project in haryana india issues and challenges,Mitigation and Adaptation Strategies for Global Change,13812386,10.1007/s11027-010-9248-8,2010,scopus
Hingley M.; Mikkola M.; Canavari M.; Asioli D.,local and sustainable food supply the role of european retail consumer cooperatives,International Journal on Food System Dynamics,18696945,10.18461/ijfsd.v2i4.241,2011,scopus
Minguez-Vera A.; Martin-Ugedo J.F.; Arcas-Lario N.,agency and property rights theories in agricultural cooperatives evidence from spain las teorías de agencia y de los derechos de propiedad en las cooperativas agrícolas evidencia para españa,Spanish Journal of Agricultural Research,1695971X,10.5424/sjar/2010084-1384,2010,scopus
Ivanová M.; Michaeli E.; Boltižiar M.; Juhaščíková J.,analysis of landscape heterogeneity changes on the example of hlinné vyšný žipov and zlatník village eastern slovakia in the period 18262006,Ekologia Bratislava,1335342X,10.4149/ekol_2011_02_269,2011,scopus
Ferguson H.; Kepe T.,agricultural cooperatives and social empowerment of women a ugandan case study coopératives agricoles et autonomisation sociale des femmes étude de cas douganda,Development in Practice,13649213,10.1080/09614524.2011.558069,2011,scopus
Islam K.M.A.; Uddin M.M.; Sultana M.N.; Assaduzzaman M.; Islam M.N.,distribution pattern and management practices of cross bred dairy cows in cooperative dairy production system in bangladesh,Livestock Research for Rural Development,01213784,,2010,scopus
Friebel G.; Schnedler W.,team governance empowerment or hierarchical control,Journal of Economic Behavior and Organization,01672681,10.1016/j.jebo.2010.12.003,2011,scopus
Patel-Campillo A.,transforming global commodity chains actor strategies regulation and competitive relations in the dutch cut flower sector,Economic Geography,19448287,10.1111/j.1944-8287.2010.01102.x,2011,scopus
Adebo G.M.; Oladele C.A.,consumer cooperatives food security and the sustainability of civil servants in urban cities of ondo state nigeria,"Journal of Food, Agriculture and Environment",14590255,,2010,scopus
Azadi H.; Hosseininia G.; Zarafshani K.; Heydari A.; Witlox F.,factors influencing the success of animal husbandry cooperatives a case study in southwest iran,Journal of Agriculture and Rural Development in the Tropics and Subtropics,16129830,,2010,scopus
Berthoud A.; Maupu P.; Huet C.; Poupart A.,assessing freshwater ecotoxicity of agricultural products in life cycle assessment lca a case study of wheat using french agricultural practices databases and usetox model,International Journal of Life Cycle Assessment,16147502,10.1007/s11367-011-0321-7,2011,scopus
Patil P.V.; Kulkarni A.N.,diurnal changes of some physicochemical characteristics in reservoir thodga ahmedpur distt latur maharashtra,Nature Environment and Pollution Technology,09726268,,2010,scopus
Akinrinola O.O.; Mafimisebi T.E.,contributions of informal savings and credit institutions to rural development evidence from nigeria,Journal of Rural Cooperation,03777480,,2010,scopus
Kumar S.; Chand P.; Dabas J.P.S.; Singh H.,characteristics and determinants of contract design of wheat seed farming in india a basis of decision making,Indian Journal of Agricultural Economics,00195014,,2010,scopus
Leviten-Reid C.; Fairbairn B.,multistakeholder governance in cooperative organizations toward a new framework for research,Canadian Journal of Nonprofit and Social Economy Research,19209355,10.22230/cjnser.2011v2n2a78,2011,scopus
Botterill L.C.,life and death of an institution the case of collective wheat marketing in australia,Public Administration,14679299,10.1111/j.1467-9299.2010.01854.x,2011,scopus
Arcas N.; García D.; Guzmán I.,effect of size on performance of spanish agricultural cooperatives,Outlook on Agriculture,00307270,10.5367/oa.2011.0051,2011,scopus
Palomo R.; Sanchis-Palacio J.R.; Gutiérrez-Fernández M.,the effects of the financial crisis on the restructuring of banking systems institutional protection systems in territorial banks efectos de la crisis financiera sobre la innovación en la reorganización de los sistemas bancarios los sistemas institucionales de protección en las entidades financieras de ámbito territorial,Innovar,01215051,,2011,scopus
Borgen S.O.,product differentiation and cooperative governance,Journal of Socio-Economics,10535357,10.1016/j.socec.2010.12.002,2011,scopus
Maliwichi L.L.; Oni S.A.; Sifumba L.,an evaluation of the performance of small scale agribusinesses in vhembe district of limpopo province south africa,African Journal of Agricultural Research,1991637X,,2011,scopus
Valkila J.; Nygren A.,impacts of fair trade certification on coffee farmers cooperatives and laborers in nicaragua,Agriculture and Human Values,0889048X,10.1007/s10460-009-9208-7,2010,scopus
Anh P.T.; Bush S.R.; Mol A.P.J.; Kroeze C.,the multilevel environmental governance of vietnamese aquaculture global certification national standards local cooperatives,Journal of Environmental Policy and Planning,15227200,10.1080/1523908X.2011.633701,2011,scopus
Černý I.; Veverková A.; Kovaŕ M.; Pačuta V.; Molńarová J.,influence of temperature and moisture conditions of locality on the yield formation of sunflower helianthus annuus l,Acta Universitatis Agriculturae et Silviculturae Mendelianae Brunensis,12118516,10.11118/actaun201159060099,2011,scopus
Ommani A.R.,reengineering agricultural cooperatives based on engineering design in ahwaz township iran,Australian Journal of Basic and Applied Sciences,19918178,,2011,scopus
Barnes S.L.,black church sponsorship of economic programs a test of survival and liberation strategies,Review of Religious Research,22114866,10.1007/s13644-011-0005-6,2011,scopus
Bressan V.G.F.; Braga M.J.; Bressan A.A.; de Andrade Resende Filho M.,insolvency evaluation in credit unions an application of the pearls system avaliação de insolvência em cooperativas de crédito uma aplicação do sistema pearls,Revista de Administracao Mackenzie,15186776,10.1590/S1678-69712011000200006,2011,scopus
McAlevey L.; Sibbald A.; Tripe D.,new zealand credit union mergers,Annals of Public and Cooperative Economics,14678292,10.1111/j.1467-8292.2010.00414.x,2010,scopus
Feintrenie L.; Chong W.K.; Levang P.,why do farmers prefer oil palm lessons learnt from bungo district indonesia,Small-scale Forestry,18737854,10.1007/s11842-010-9122-2,2010,scopus
Salazar I.; Górriz C.G.,determinants of the differences in the downstream vertical integration and efficiency implications in agricultural cooperatives,B.E. Journal of Economic Analysis and Policy,19351682,10.2202/1935-1682.2694,2011,scopus
Johannessen S.; Wilhite H.,who really benefits from fairtrade an analysis of value distribution in fairtrade coffee,Globalizations,1474774X,10.1080/14747731.2010.505018,2010,scopus
Gagliardi F.; Trivieri F.,is there a synergetic link among coops investigating the relationship between financial and nonfinancial cooperatives,International Journal of Economic Perspectives,13071637,,2010,scopus
Gillen J.,a battle worth winning the service of culture to the communist party of vietnam in the contemporary era,Political Geography,09626298,10.1016/j.polgeo.2011.05.001,2011,scopus
Okoh S.O.; Rahman S.A.; Ibrahim H.I.,gender participation in commercial poultry production in karu and lafia areas nasarawa state nigeria,Livestock Research for Rural Development,01213784,,2010,scopus
Manikas I.; Manos B.; Vlachopoulou M.; Manthou V.,an activityoriented web application for fresh produce traceability,International Journal of Business Information Systems,17460972,10.1504/IJBIS.2010.032937,2010,scopus
Wang H.-J.; Chang C.-C.; Chen P.-C.,the cost effects of governmentsubsidised credit evidence from farmers credit unions in taiwan,Journal of Agricultural Economics,14779552,10.1111/j.1477-9552.2007.00137.x,2008,scopus
Hatanaka M.; Busch L.,thirdparty certification in the global agrifood system an objective or socially mediated governance mechanism,Sociologia Ruralis,14679523,10.1111/j.1467-9523.2008.00453.x,2008,scopus
Lindell I.; Appelblad J.,disabling governance privatisation of city markets and implications for vendors associations in kampala uganda,Habitat International,01973975,10.1016/j.habitatint.2008.12.001,2009,scopus
Nihei T.,commodification of rural space and changes in the main varieties of paddy rice in the tohoku region,Geographical review of Japan series B,18834396,,2009,scopus
Pereira E.; Rola S.; Freitas M.; Rosa L.P.,irrigation for food production in the semiarid region of northeast brazil case studies in petrolina juazeiro vale do açu and agrovila canudos in cearámirim,WIT Transactions on Ecology and the Environment,17433541,10.2495/WRM090481,2009,scopus
Buchta S.; Štulrajter Z.,marginalised groups of rural population,Agricultural Economics,0139570X,10.17221/285-agricecon,2008,scopus
Iliopoulos C.; Hendrikse G.,influence costs in agribusiness cooperatives evidence from case studies,International Studies of Management and Organization,15580911,10.2753/IMO0020-8825390404,2009,scopus
Guo X.; Schmit T.M.; Henehan B.M.,rural supply and marketing cooperatives in china historical development problems and reform,Journal of Rural Cooperation,03777480,,2008,scopus
Simmons R.; Birchall J.,the role of cooperatives in poverty reduction network perspectives,Journal of Socio-Economics,10535357,10.1016/j.socec.2008.04.016,2008,scopus
He L.; Turvey C.,financial repression in chinas agricultural economy,China Agricultural Economic Review,17561388,10.1108/17561370910958846,2009,scopus
Laviolette P.,a matter of coopportunism inalienability in london social housing,City and Society,1548744X,10.1111/j.1548-744X.2008.00009.x,2008,scopus
Mahadeva M.,understanding financial abandoning from a micro perspective policy responses to promote inclusion in india,Savings and Development,03934551,,2009,scopus
Lyne M.; Collins R.,south africas new cooperatives act a missed opportunity for small farmers and land reform beneficiaries,Agrekon,20780400,10.1080/03031853.2008.9523796,2008,scopus
Damar E.; Hunnicutt L.,credit union membership and use of internet banking technology,B.E. Journal of Economic Analysis and Policy,19351682,10.2202/1935-1682.2321,2010,scopus
Reimer J.J.,search costs in identitypreserved agricultural markets,Journal of Agricultural and Food Industrial Organization,15420485,10.2202/1542-0485.1230,2008,scopus
Karlinsky N.,jewish philanthropy and jewish credit cooperatives in eastern europe and palestine up to 1939 a transnational phenomenon,Journal of Israeli History,17440548,10.1080/13531040802284049,2008,scopus
Petridou E.; Glaveli N.,rural women entrepreneurship within cooperatives training support,Gender in Management,17542413,10.1108/17542410810878077,2008,scopus
Udoh E.J.; Kormawa P.M.,determinants for cassava production expansion in the semiarid zone of west africa,"Environment, Development and Sustainability",1387585X,10.1007/s10668-007-9116-1,2009,scopus
Österberg P.; Nilsson J.,members perception of their participation in the governance of cooperatives the key to trust and commitment in agricultural cooperatives,Agribusiness,15206297,10.1002/agr.20200,2009,scopus
Nikolopoulos K.; Handrinos M.C.,the future of credit unions in the united states evidence from quantitative extrapolations,Applied Financial Economics Letters,17446554,10.1080/17446540701704349,2008,scopus
Leaptrott J.; Michael McDonald J.,ways managers interpret and act on common workplace events implications for the entrepreneurial executive,Entrepreneurial Executive,19394667,,2009,scopus
Golovina S.; Nilsson J.,difficulties for the development of agricultural cooperatives in russia the case of the kurgan region,Journal of Rural Cooperation,03777480,,2009,scopus
Nilsson J.; Kihlén A.; Norell L.,are traditional cooperatives an endangered species about shrinking satisfaction involvement and trust,International Food and Agribusiness Management Review,15592448,,2009,scopus
Faifua D.; Harding S.,broader rationalities and alternative forms of organisation sociological insights into social strategic action,International Journal of Sociology and Social Policy,0144333X,10.1108/01443330810900239,2008,scopus
